YEAR;CULTURAL_SPACE_NAME;WEBSITE;TYPE;PRIMARY_USE;ADDRESS;LOCAL_AREA;OWNERSHIP;SQUARE_FEET;NUMBER_OF_SEATS;ACTIVE_SPACE;Geom;geo_point_2d
2015;Portside Studios;;Studio/Rehearsal;Artist Studio;150 McLean Dr, Vancouver, BC, V5L 3L1;Grandview-Woodland;Privately Owned;5000;;Yes;"{""coordinates"": [-123.0740061, 49.2833711], ""type"": ""Point""}";49.2833711, -123.0740061
2015;Purple Thistle;www.purplethistle.ca?;Studio/Rehearsal;Artist Studio;975 Vernon Drive, Vancouver, BC, V6A 3P2;Strathcona;Privately Owned;;;Yes;"{""coordinates"": [-123.0786643, 49.2761045], ""type"": ""Point""}";49.2761045, -123.0786643
2015;Queen Elizabeth Theatre;http://vancouver.caparks-recreation-culture/queen-elizabeth-theatre.aspx;Theatre/Performance;Theatre;650 Hamilton St, Vancouver, BC, V6B 5N6;Downtown;City of Vancouver;40000;2765;Yes;"{""coordinates"": [-123.113401, 49.28046], ""type"": ""Point""}";49.28046, -123.113401
2015;Railtown Studios;http://railtownstudios.com/;Studio/Rehearsal;Artist Studio;321 Railway St, Vancouver, BC, V6A 1A4;Strathcona;Privately Owned;;;Yes;"{""coordinates"": [-123.097645, 49.2846363], ""type"": ""Point""}";49.2846363, -123.097645
2015;Railway Club;www.therailwayclub.com;Café/Restaurant/Bar;Bar/Lounge/Cabaret;579 Dunsmuir St, Vancouver, BC, V6B 1Y4;Downtown;Privately Owned;4500;165;Yes;"{""coordinates"": [-123.1151754, 49.2828775], ""type"": ""Point""}";49.2828775, -123.1151754
2015;Remington Gallery and Studio;https://www.facebook.com/Remington.Gallery.and.Studio;Museum/Gallery;Museum/Gallery;108 E Hastings St, Vancouver, BC, V6A 4J1;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.1019396, 49.281336], ""type"": ""Point""}";49.281336, -123.1019396
2015;Rogers Arena;http://rogersarena.com/;Community Space;Arena/Stadium;800 Griffiths Way, Vancouver, BC, V6B 6G1;Downtown;Privately Owned;17000;20000;Yes;"{""coordinates"": [-123.109143, 49.277049], ""type"": ""Point""}";49.277049, -123.109143
2015;Roundhouse Community Centre;www.roundhouse.ca?;Community Space;Community Centre/Hall;181 Roundhouse Mews, Vancouver, BC, V6Z 2W3;Downtown;City of Vancouver;20000;;Yes;"{""coordinates"": [-123.121747, 49.273308], ""type"": ""Point""}";49.273308, -123.121747
2015;Roy Barnett Recital Hall;http://www.music.ubc.ca/about-us/facilities/roy-barnett-recital-hall.html;Theatre/Performance;Performance Space;6361 Memorial Rd, Vancouver, BC, V6T 1Z2;UBC;Other;;255;Yes;"{""coordinates"": [-123.256613, 49.267411], ""type"": ""Point""}";49.267411, -123.256613
2015;Ryerson United Church;www.ryersonunited.ca;Community Space;Place of Worship;2195 W 45th Av, Vancouver, BC, V6M  2J2;Kerrisdale;Other;;450;Yes;"{""coordinates"": [-123.1585257, 49.2309378], ""type"": ""Point""}";49.2309378, -123.1585257
2015;Scotiabank Dance Centre - Earl Kraul & Grant Strate Studio;www.thedancecentre.ca?;Studio/Rehearsal;Rehearsal Studio;677 Davie St, Vancouver, BC, V6B 2G6;Downtown;Non-Profit;28166;;Yes;"{""coordinates"": [-123.125738, 49.277084], ""type"": ""Point""}";49.277084, -123.125738
2015;Scotiabank Dance Centre - Judith R Marcuse Studio;;Studio/Rehearsal;Rehearsal Studio;677 Davie St, Vancouver, BC, V6B 2G6;Downtown;Non-Profit;800;50;Yes;"{""coordinates"": [-123.125727, 49.277074], ""type"": ""Point""}";49.277074, -123.125727
2015;Scottish Cultural Centre;www.scottishculturalcentre.com?;Community Space;Community Centre/Hall;8886 Hudson St, Vancouver, BC, V6P 4N2;Marpole;Non-Profit;8431;;Yes;"{""coordinates"": [-123.134666, 49.204487], ""type"": ""Point""}";49.204487, -123.134666
2015;Second Beach Field House;http://vancouver.ca/parks-recreation-culture/second-beach.aspx;Studio/Rehearsal;Artist Studio;Stanley Park Drive, Vancouver, BC, V6G 3E2;Stanley Park;Vancouver Park Board/COV;;;Yes;"{""coordinates"": [-123.150402, 49.295416], ""type"": ""Point""}";49.295416, -123.150402
2015;Secret Lantern Society;;Studio/Rehearsal;Workshop;328 -B Industrial Av, Vancouver, BC,;Strathcona;Privately Owned;1500;;Yes;"{""coordinates"": [-123.0965625, 49.2695868], ""type"": ""Point""}";49.2695868, -123.0965625
2015;Semi-Public (221A);http://221a.ca/;Community Space;Plaza/Park/Band Shell;271 Union St, Vancouver, BC, V6A 2B2;Strathcona;Privately Owned;3000;;Yes;"{""coordinates"": [-123.0974061, 49.2778745], ""type"": ""Point""}";49.2778745, -123.0974061
2015;Silk Weaving Studio;http://www.silkweavingstudio.com/;Studio/Rehearsal;Artist Studio;1531 Johnston St, Vancouver, BC, V6H 3R9;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.134239, 49.2719547], ""type"": ""Point""}";49.2719547, -123.134239
2015;St Andrews-Wesley United Church;www.standrewswesleychurch.bc.ca?;Community Space;Place of Worship;1012 Nelson St, Vancouver, BC, V6E 1H8;West End;Other;;1200;Yes;"{""coordinates"": [-123.1266077, 49.2815242], ""type"": ""Point""}";49.2815242, -123.1266077
2015;Stanley Park Nature House;http://stanleyparkecology.ca/education/nature-house/;Museum/Gallery;Museum/Gallery;Stanley Park, Vancouver, BC;Stanley Park;Vancouver Park Board/COV;500;;Yes;"{""coordinates"": [-123.137914, 49.294408], ""type"": ""Point""}";49.294408, -123.137914
2015;Strathcona Park Field House;http://vancouver.ca/parks-recreation-culture/strathcona-park-fieldhouse.aspx;Studio/Rehearsal;Artist Studio;857 Malkin Av, Vancouver, BC, V6A 2K5;Strathcona;Vancouver Park Board/COV;350;;Yes;"{""coordinates"": [-123.083385, 49.2739359], ""type"": ""Point""}";49.2739359, -123.083385
2015;The Anderson Street Space;www.bocadellupo.com/?;Studio/Rehearsal;Rehearsal Studio;1405 Anderson St, Vancouver, BC, V6H 3R5;Fairview;Privately Owned;400;30;Yes;"{""coordinates"": [-123.134975, 49.271656], ""type"": ""Point""}";49.271656, -123.134975
2015;The Hindenburg;http://hindenburg.ca/;Café/Restaurant/Bar;Bar/Lounge/Cabaret;23 W Cordova St, Vancouver, BC, V6B 1C8;Downtown;Privately Owned;10000;300;Yes;"{""coordinates"": [-123.1050522, 49.2826173], ""type"": ""Point""}";49.2826173, -123.1050522
2015;The Ironworks Studio;www.theironworks.ca;Theatre/Performance;Performance Space;235 Alexander St, Vancouver, BC, V6A 1C2;Strathcona;Privately Owned;4700;180;Yes;"{""coordinates"": [-123.099046, 49.284153], ""type"": ""Point""}";49.284153, -123.099046
2015;Théâtre la Seizième/Studio 16;www.seizieme.ca?;Studio/Rehearsal;Rehearsal Studio;1555 W 7th Av, Vancouver, BC, V6J 1S1;Fairview;Privately Owned;;120;Yes;"{""coordinates"": [-123.140093, 49.2655999], ""type"": ""Point""}";49.2655999, -123.140093
2015;Trees Organic Coffee House;http://www.treescoffee.com/;Café/Restaurant/Bar;Café/Restaurant;450 Granville St, Vancouver, BC, V6C 1V4;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.1143101, 49.2849231], ""type"": ""Point""}";49.2849231, -123.1143101
2015;Trench Gallery;www.trenchgallery.com;Museum/Gallery;Museum/Gallery;148 Alexander St, Vancouver, BC, V6A 1B5;Downtown;Privately Owned;1000;;Yes;"{""coordinates"": [-123.1010921, 49.2839469], ""type"": ""Point""}";49.2839469, -123.1010921
2015;Trout Lake Community Centre;https://vancouver.ca/parks-recreation-culture/trout-lake-community-centre.aspx;Community Space;Community Centre/Hall;3360 Victoria Dr, Vancouver, BC, V5N 4M4;Kensington-Cedar Cottage;Vancouver Park Board/COV;;;Yes;"{""coordinates"": [-123.065438, 49.255325], ""type"": ""Point""}";49.255325, -123.065438
2015;Vancouver Academy of Music;http://vancouveracademyofmusic.com;Educational;Educational Institution;1270 Chestnut St, Vancouver, BC, V6J 4R9;Kitsilano;City of Vancouver;40000;;Yes;"{""coordinates"": [-123.144548, 49.274884], ""type"": ""Point""}";49.274884, -123.144548
2015;Vancouver Art Gallery;www.vanartgallery.bc.ca;Museum/Gallery;Museum/Gallery;750 Hornby St, Vancouver, BC, V6Z 2H7;Downtown;Government;165000;;Yes;"{""coordinates"": [-123.120932, 49.283158], ""type"": ""Point""}";49.283158, -123.120932
2015;Vancouver Art Therapy Institute (VATI);http://www.vati.bc.ca/;Educational;Educational Institution;1575 Johnston St, Vancouver, BC, V6H 3R9;Fairview;;;;Yes;"{""coordinates"": [-123.1349366, 49.2718984], ""type"": ""Point""}";49.2718984, -123.1349366
2015;Vancouver Community Laboratory;http://vancommunitylab.com/;Studio/Rehearsal;Workshop;1907 Triumph St, Vancouver, BC, V5L 1K6;Grandview-Woodland;;5000;;Yes;"{""coordinates"": [-123.0652956, 49.2841727], ""type"": ""Point""}";49.2841727, -123.0652956
2015;Vancouver Public Library;www.vpl.ca;Museum/Gallery;Library/Archives;350 W Georgia St, Vancouver, BC, V6B 6B1;Downtown;City of Vancouver;12000;;Yes;"{""coordinates"": [-123.1151119, 49.2804357], ""type"": ""Point""}";49.2804357, -123.1151119
2015;Vanier Park;;Community Space;Plaza/Park/Band Shell;1000 Chestnut St, Vancouver, BC, V6J 3J9;Kitsilano;City of Vancouver;228194;;Yes;"{""coordinates"": [-123.146124, 49.276777], ""type"": ""Point""}";49.276777, -123.146124
2015;Venue;www.venuelive.ca?;Café/Restaurant/Bar;Bar/Lounge/Cabaret;881 Granville St, Vancouver, BC, V6Z 1K7;Downtown;Privately Owned;10000;;Yes;"{""coordinates"": [-123.1211246, 49.2805411], ""type"": ""Point""}";49.2805411, -123.1211246
2015;Visual Arts Studio - SFU School for the Contemporary Arts;http://www.sfu.ca/sca/index.php/programs/visual-arts;Educational;Educational Institution;611 Alexander St, Vancouver, BC, V6A 1E1;Strathcona;Privately Owned;;;Yes;"{""coordinates"": [-123.0915178, 49.2844372], ""type"": ""Point""}";49.2844372, -123.0915178
2015;Waterfront Theatre;www.waterfronttheatre.ca?;Theatre/Performance;Theatre;1412 Cartwright St, Vancouver, BC, V6H 3R7;Fairview;Government;;224;Yes;"{""coordinates"": [-123.135508, 49.270119], ""type"": ""Point""}";49.270119, -123.135508
2015;West 6th Artists Studios;;Studio/Rehearsal;Artist Studio;1573 W 6th Av, Vancouver, BC, V6J 1R1;Fairview;City of Vancouver;400;;Yes;"{""coordinates"": [-123.1400604, 49.2663536], ""type"": ""Point""}";49.2663536, -123.1400604
2015;West End Community Centre;https://vancouver.ca/parks-recreation-culture/west-end-community-centre.aspx;Community Space;Community Centre/Hall;870 Denman St, Vancouver, BC, V6G 2L8;West End;Vancouver Park Board/COV;50000;;Yes;"{""coordinates"": [-123.136073777706, 49.289912961681], ""type"": ""Point""}";49.289912961681, -123.136073777706
2015;Western Front - Gallery;www.front.bc.ca?;Museum/Gallery;Museum/Gallery;303 E 8th Av, Vancouver, BC, V5T 1S1;Mount Pleasant;Privately Owned;3110;;Yes;"{""coordinates"": [-123.098654, 49.263916], ""type"": ""Point""}";49.263916, -123.098654
2015;Wil Aballe Art Projects;http://www.waapart.com/;Museum/Gallery;Museum/Gallery;1356 Frances St, Vancouver, BC, V5L 1Y9;Grandview-Woodland;Privately Owned;;;Yes;"{""coordinates"": [-123.0757838, 49.2794145], ""type"": ""Point""}";49.2794145, -123.0757838
2015;Wise Club Hall;www.wisehall.ca;Theatre/Performance;Performance Space;1882 Adanac St, Vancouver, BC, V5L 2E2;Grandview-Woodland;Non-Profit;2600;225;Yes;"{""coordinates"": [-123.0660915, 49.2772414], ""type"": ""Point""}";49.2772414, -123.0660915
2015;Woodward's Atrium;;Theatre/Performance;Performance Space;111 W Hastings St, Vancouver, BC, V6B 1H4;Downtown;;;;Yes;"{""coordinates"": [-123.107579, 49.282541], ""type"": ""Point""}";49.282541, -123.107579
2014;15th Field Artillery Regiment Museum and Archives;www.memorybc.ca/museum-of-15th-field-artillery-regiment;Museum/Gallery;Museum/Gallery;2025 W 11th Av, Vancouver, BC, V6J 2C7;Kitsilano;Privately Owned;;;Yes;"{""coordinates"": [-123.151123, 49.261938], ""type"": ""Point""}";49.261938, -123.151123
2014;221A Artist Run Centre;www.221a.ca/?;Museum/Gallery;Museum/Gallery;221 E Georgia St, Vancouver, BC, V6A 1Z6;Strathcona;Privately Owned;9000;;Yes;"{""coordinates"": [-123.098796, 49.278786], ""type"": ""Point""}";49.278786, -123.098796
2014;2nd Beach field House;http://vancouver.ca/parks-recreation-culture/second-beach.aspx;Studio/Rehearsal;Artist Studio;Stanley Park Drive, Vancouver, BC, V6G 3E2;;Park Board/COV;;;Yes;"{""coordinates"": [-123.150402, 49.295416], ""type"": ""Point""}";49.295416, -123.150402
2014;Acme Studios;https://www.facebook.com/ACMEstudiobuilding;Studio/Rehearsal;Artist Studio;112 E Hastings St, Vancouver, BC, V6A 4J1;Downtown;Privately Owned;30000;;Yes;"{""coordinates"": [-123.101791, 49.281101], ""type"": ""Point""}";49.281101, -123.101791
2014;Al Mozaico Flamenco Dance Academy;http://www.mozaicoflamenco.com/;Educational;Educational Institution;828 E Hastings St, Vancouver, BC, V6A 1R6;Strathcona;Privately Owned;;;Yes;"{""coordinates"": [-123.0864434, 49.2810234], ""type"": ""Point""}";49.2810234, -123.0864434
2014;Art Beatus;www.artbeatus.com;Museum/Gallery;Museum/Gallery;808 Nelson St, Vancouver, BC, V6Z 2H2;Downtown;Privately Owned;3700;;Yes;"{""coordinates"": [-123.1249139, 49.2800409], ""type"": ""Point""}";49.2800409, -123.1249139
2014;Art Club/Bard On Beach Production Centre Theatre;;Studio/Rehearsal;Workshop;162 W 1st Av, Vancouver, BC, V5Y 1A4;Mount Pleasant;City of Vancouver;;;Yes;"{""coordinates"": [-123.108535, 49.2702275], ""type"": ""Point""}";49.2702275, -123.108535
2014;Art Works Gallery;http://artworksbc.com/;Museum/Gallery;Museum/Gallery;225 Smithe St, Vancouver, BC, V6B 4X7;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.1165781, 49.2775077], ""type"": ""Point""}";49.2775077, -123.1165781
2014;Arts Club Theatre Revue Stage;http://www.artsclub.com;Theatre/Performance;Theatre;1601 Johnston St, Vancouver, BC, V6H 3R9;Fairview;Government;6428;198;Yes;"{""coordinates"": [-123.13467, 49.272235], ""type"": ""Point""}";49.272235, -123.13467
2014;Artspeak Gallery;www.artspeak.ca/?;Museum/Gallery;Museum/Gallery;233 Carrall St, Vancouver, BC, V6B 2J2;Downtown;Non-Profit;990;;Yes;"{""coordinates"": [-123.104299, 49.282941], ""type"": ""Point""}";49.282941, -123.104299
2014;Audain Gallery;https://www.sfu.ca/galleries/audain-gallery.html;Museum/Gallery;Museum/Gallery;149 W Hastings St, Vancouver, BC, V6B 1H4;Downtown;Other;;;Yes;"{""coordinates"": [-123.108715, 49.282395], ""type"": ""Point""}";49.282395, -123.108715
2014;Back Gallery Project;http://www.backgalleryproject.com/;Museum/Gallery;Museum/Gallery;602 E Hastings St, Vancouver, BC, V6A 1R1;Strathcona;Privately Owned;900;;Yes;"{""coordinates"": [-123.0913998, 49.2811369], ""type"": ""Point""}";49.2811369, -123.0913998
2014;Basic Inquiry;http://www.lifedrawing.org/index.html;Museum/Gallery;Museum/Gallery;1011 Main St, Vancouver, BC, V6A 4L4;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.1000334, 49.2758184], ""type"": ""Point""}";49.2758184, -123.1000334
2014;Bloedel Conservatory;http://vancouver.ca/parks-recreation-culture/bloedel-conservatory.aspx;Museum/Gallery;Garden/Aquarium/Science Centre;4600 Cambie St, Vancouver, BC, V5Y 2M5;Riley Park;Park Board/COV;19600;;Yes;"{""coordinates"": [-123.113759, 49.242077], ""type"": ""Point""}";49.242077, -123.113759
2014;Cambrian Hall;http://www.welshsociety.com/Lab5/;Community Space;Community Centre/Hall;215 E 17th Av, Vancouver, BC, V5V 1A6;Riley Park;Privately Owned;1584;129;Yes;"{""coordinates"": [-123.1005648, 49.2559391], ""type"": ""Point""}";49.2559391, -123.1005648
2014;Carousel Theatre for Young People;www.carouseltheatre.ca;Studio/Rehearsal;Rehearsal Studio;1411 Cartwright St, Vancouver, BC, V6H 3R7;Fairview;Government;1330;;Yes;"{""coordinates"": [-123.13523, 49.270336], ""type"": ""Point""}";49.270336, -123.13523
2014;CBC Studio 700;http://www.cbc.ca/bc/communityspaces/studio700.html#igImgId_11630;Theatre/Performance;Performance Space;700 Hamilton, Vancouver, BC, V6B 2R5;Downtown;Government;2784;140;Yes;"{""coordinates"": [-123.114496, 49.279079], ""type"": ""Point""}";49.279079, -123.114496
2014;Center for Digital Media;www.gnwc.ca;Educational;Educational Institution;555 Great Northern Way, Vancouver, BC, V5T 1E2;Strathcona;Government;51000;;Yes;"{""coordinates"": [-123.089605, 49.267044], ""type"": ""Point""}";49.267044, -123.089605
2014;Centre A, Centre For Contemporary Asian Art;http://centrea.org;Museum/Gallery;Museum/Gallery;229 E Georgia St, Vancouver, BC, V6A 1Z6;Strathcona;Privately Owned;1500;;Yes;"{""coordinates"": [-123.098671, 49.278676], ""type"": ""Point""}";49.278676, -123.098671
2014;Ceperley Meadow;;Community Space;Plaza/Park/Band Shell;, Vancouver, BC,;;City of Vancouver;5558;;Yes;"{""coordinates"": [-123.148518, 49.293772], ""type"": ""Point""}";49.293772, -123.148518
2014;Chapel Arts, The;www.chapelarts.com?;Theatre/Performance;Performance Space;304 Dunlevy St, Vancouver, BC, V6A 3Y4;Strathcona;Privately Owned;2882;;Yes;"{""coordinates"": [-123.0953265, 49.2821671], ""type"": ""Point""}";49.2821671, -123.0953265
2014;Charles H. Scott Gallery;www.chscott.ecuad.ca?;Museum/Gallery;Museum/Gallery;1399 Johnston St, Vancouver, BC, V6H 2R9;Fairview;Government;;;Yes;"{""coordinates"": [-123.132876, 49.270485], ""type"": ""Point""}";49.270485, -123.132876
2014;Circle Craft Co-Operative Shop & Gallery;www.circlecraft.net/;Museum/Gallery;Museum/Gallery;1666 Johnston St, Vancouver, BC, V6H 3S2;Fairview;Government;;;Yes;"{""coordinates"": [-123.135541, 49.272369], ""type"": ""Point""}";49.272369, -123.135541
2014;City of Vancouver Artist Studio;https://vancouver.ca/people-programs/artist-live-work-studio-program.aspx;Studio/Rehearsal;Artist Studio w/Residence;1202 E Pender St, Vancouver, BC, V6A 1W8;Strathcona;City of Vancouver;1446;;Yes;"{""coordinates"": [-123.0789337, 49.2802238], ""type"": ""Point""}";49.2802238, -123.0789337
2014;Clayzone Ceramics Gallery;www.clayzoneceramics.com;Educational;Educational Institution;661 E 15th Av, Vancouver, BC,;Mount Pleasant;Privately Owned;750;;Yes;"{""coordinates"": [-123.08964, 49.2571788], ""type"": ""Point""}";49.2571788, -123.08964
2014;Creekside Park;;Community Space;Plaza/Park/Band Shell;1455 Quebec St, Vancouver, BC, V6A 3Z7;Downtown;City of Vancouver;177518;;Yes;"{""coordinates"": [-123.10319, 49.274159], ""type"": ""Point""}";49.274159, -123.10319
2014;Croatian Cultural Centre;www.croatiancentre.com;Community Space;Community Centre/Hall;3250 Commercial Dr, Vancouver, BC, V5N 4E4;Kensington-Cedar Cottage;Non-Profit;16543;;Yes;"{""coordinates"": [-123.06845, 49.255421], ""type"": ""Point""}";49.255421, -123.06845
2014;Crystal Ballroom;www.crystalballrom.ca;Educational;Educational Institution;768 Sw Marine Dr, Vancouver, BC, V6P 5Y7;Marpole;Privately Owned;5000;;Yes;"{""coordinates"": [-123.1230434, 49.207191], ""type"": ""Point""}";49.207191, -123.1230434
2014;David Lam Park;;Community Space;Plaza/Park/Band Shell;1300 Pacific Blvd, Vancouver, BC, V6Z 2V1;Downtown;City of Vancouver;467154;;Yes;"{""coordinates"": [-123.1241736, 49.2724252], ""type"": ""Point""}";49.2724252, -123.1241736
2014;Douglas Reynolds Gallery;www.douglasreynoldsgallery.com;Museum/Gallery;Museum/Gallery;2335 Granville St, Vancouver, BC, V6H 3G4;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1385998, 49.2648423], ""type"": ""Point""}";49.2648423, -123.1385998
2014;Dynamo Arts Association;www.dynamoarts.tumblr.com?;Museum/Gallery;Museum/Gallery;30 E 6th Ave, Vancouver, BC, V5T 1J4;Mount Pleasant;Privately Owned;6000;;Yes;"{""coordinates"": [-123.1040486, 49.2653017], ""type"": ""Point""}";49.2653017, -123.1040486
2014;Earl Kraul & Grant Strate Studio, The;www.thedancecentre.ca?;Studio/Rehearsal;Rehearsal Studio;677 Davie St, Vancouver, BC, V6B 2G6;Downtown;Privately Owned;28166;;Yes;"{""coordinates"": [-123.125738, 49.277084], ""type"": ""Point""}";49.277084, -123.125738
